# Q2 z GE_fit_SBS GE_fit_rat_SBS dGEGD_SBS GM_fit_SBS GM_fit_rat_SBS dGMGD_SBS GEGM_fit_rat_SBS dGEGM_SBS
2.6302679919e-06 -5.1918934650e-01 9.9999203898e-01 9.9999944814e-01 2.8690848571e-07 2.7928245853e+00 9.9999925594e-01 5.6268620222e-07 1.0000001922e+00 6.3161139692e-07
2.6607250598e-06 -5.1918927512e-01 9.9999194679e-01 9.9999944175e-01 2.9021381026e-07 2.7928243216e+00 9.9999924732e-01 5.6917028583e-07 1.0000001944e+00 6.3888935690e-07
2.6915348039e-06 -5.1918920292e-01 9.9999185354e-01 9.9999943528e-01 2.9356255386e-07 2.7928240549e+00 9.9999923861e-01 5.7573953369e-07 1.0000001967e+00 6.4626291095e-07
2.7227013081e-06 -5.1918912988e-01 9.9999175921e-01 9.9999942874e-01 2.9695470887e-07 2.7928237851e+00 9.9999922979e-01 5.8239393392e-07 1.0000001990e+00 6.5373204502e-07
2.7542287033e-06 -5.1918905599e-01 9.9999166379e-01 9.9999942213e-01 3.0037929156e-07 2.7928235122e+00 9.9999922087e-01 5.8911200517e-07 1.0000002013e+00 6.6127263252e-07
2.7861211686e-06 -5.1918898125e-01 9.9999156726e-01 9.9999941544e-01 3.0384727112e-07 2.7928232361e+00 9.9999921185e-01 5.9591520635e-07 1.0000002036e+00 6.6890877347e-07
2.8183829313e-06 -5.1918890565e-01 9.9999146961e-01 9.9999940867e-01 3.0735863984e-07 2.7928229568e+00 9.9999920272e-01 6.0280352547e-07 1.0000002059e+00 6.7664045365e-07
2.8510182675e-06 -5.1918882917e-01 9.9999137084e-01 9.9999940182e-01 3.1090241503e-07 2.7928226742e+00 9.9999919349e-01 6.0975548319e-07 1.0000002083e+00 6.8444354880e-07
2.8840315031e-06 -5.1918875180e-01 9.9999127092e-01 9.9999939489e-01 3.1448956462e-07 2.7928223884e+00 9.9999918415e-01 6.1679253616e-07 1.0000002107e+00 6.9234215630e-07
2.9174270140e-06 -5.1918867354e-01 9.9999116984e-01 9.9999938789e-01 3.1812008078e-07 2.7928220993e+00 9.9999917471e-01 6.2391467228e-07 1.0000002132e+00 7.0033626182e-07
2.9512092267e-06 -5.1918859437e-01 9.9999106759e-01 9.9999938080e-01 3.2179395566e-07 2.7928218069e+00 9.9999916515e-01 6.3112187939e-07 1.0000002156e+00 7.0842585096e-07
2.9853826189e-06 -5.1918851428e-01 9.9999096416e-01 9.9999937363e-01 3.2551118135e-07 2.7928215110e+00 9.9999915549e-01 6.3841414529e-07 1.0000002181e+00 7.1661090927e-07
3.0199517204e-06 -5.1918843327e-01 9.9999085953e-01 9.9999936637e-01 3.2927174992e-07 2.7928212118e+00 9.9999914571e-01 6.4579145774e-07 1.0000002207e+00 7.2489142225e-07
3.0549211132e-06 -5.1918835132e-01 9.9999075369e-01 9.9999935904e-01 3.3306468085e-07 2.7928209090e+00 9.9999913582e-01 6.5323234144e-07 1.0000002232e+00 7.3324327020e-07
3.0902954325e-06 -5.1918826842e-01 9.9999064662e-01 9.9999935161e-01 3.3691191163e-07 2.7928206028e+00 9.9999912581e-01 6.6077971083e-07 1.0000002258e+00 7.4171464963e-07
3.1260793671e-06 -5.1918818456e-01 9.9999053831e-01 9.9999934411e-01 3.4080246126e-07 2.7928202930e+00 9.9999911569e-01 6.6841208979e-07 1.0000002284e+00 7.5028143991e-07
3.1622776602e-06 -5.1918809973e-01 9.9999042875e-01 9.9999933651e-01 3.4473632166e-07 2.7928199796e+00 9.9999910545e-01 6.7612946591e-07 1.0000002311e+00 7.5894362631e-07
3.1988951097e-06 -5.1918801392e-01 9.9999031792e-01 9.9999932883e-01 3.4871348470e-07 2.7928196626e+00 9.9999909509e-01 6.8393182675e-07 1.0000002337e+00 7.6770119406e-07
3.2359365693e-06 -5.1918792711e-01 9.9999020581e-01 9.9999932106e-01 3.5273394223e-07 2.7928193420e+00 9.9999908461e-01 6.9181915979e-07 1.0000002364e+00 7.7655412832e-07
3.2734069488e-06 -5.1918783930e-01 9.9999009240e-01 9.9999931319e-01 3.5680865623e-07 2.7928190176e+00 9.9999907401e-01 6.9981291124e-07 1.0000002392e+00 7.8552651446e-07
3.3113112148e-06 -5.1918775047e-01 9.9998997768e-01 9.9999930524e-01 3.6092664748e-07 2.7928186895e+00 9.9999906329e-01 7.0789160832e-07 1.0000002419e+00 7.9459423564e-07
