Q2,GMn/muGD,dGMn/muGD
1.3032e-05,0.9999951072346367,0.01963568805667091
1.3183e-05,0.9999950505155384,0.01963562790893154
1.3335e-05,0.9999949934201845,0.019635567363181432
1.349e-05,0.9999949351972968,0.019635505622778816
1.3646e-05,0.9999948765981124,0.019635443484386735
1.3804e-05,0.999994817246977,0.019635380549692008
1.3964e-05,0.9999947571438639,0.0196353168187077
1.4125e-05,0.9999946966643973,0.01963525268976238
1.4289e-05,0.9999946350572542,0.019635187366236654
1.4454e-05,0.9999945730737139,0.019635121644772473
1.4622e-05,0.9999945099624338,0.01963505472875972
1.4791e-05,0.99999444647471,0.019634987414831512
1.4962e-05,0.9999943822348552,0.01963491930469107
1.5136e-05,0.9999943168671632,0.019634850000051367
1.5311e-05,0.9999942511229579,0.01963478029753181
1.5488e-05,0.9999941846265361,0.019634709798843176
1.5668e-05,0.999994117002176,0.019634638105706228
1.5849e-05,0.9999940490012296,0.01963456601472625
1.6032e-05,0.9999939802479787,0.019634493127621815
1.6218e-05,0.9999939103666848,0.01963441904612178
1.6406e-05,0.999993839733016,0.01963434416853307
1.6596e-05,0.9999937683469403,0.019634268494871196
1.6788e-05,0.9999936962084277,0.019634192025152014
1.6982e-05,0.9999936233174463,0.019634114759391474
1.7179e-05,0.9999935492982291,0.019634036299332608
1.7378e-05,0.9999934745264681,0.01963395704327017
1.7579e-05,0.999993399002131,0.019633876991220822
1.7783e-05,0.9999933223494325,0.01963379574493643
1.7989e-05,0.9999932449440798,0.019633713702704246
1.8197e-05,0.9999931667860394,0.019633630864541424
1.8408e-05,0.9999930874995081,0.019633546832209157
1.8621e-05,0.999993007460208,0.01963346200398674
1.8836e-05,0.9999929266681052,0.019633376379891956
1.9055e-05,0.9999928443715912,0.019633289163448392
1.9275e-05,0.9999927616979712,0.019633201549424564
1.9498e-05,0.9999926778956298,0.019633112741347495
1.9724e-05,0.9999925929645131,0.019633022739245082
1.9953e-05,0.9999925069045646,0.01963293154314543
2.0184e-05,0.9999924200915458,0.01963283955130847
2.0417e-05,0.9999923325254174,0.01963274676375339
2.0654e-05,0.9999922434544826,0.01963265238404966
2.0893e-05,0.9999921536303362,0.0196325572086798
2.1135e-05,0.9999920626770954,0.019632460839445396
2.138e-05,0.999991970594701,0.019632363276376536
2.1627e-05,0.9999918777589494,0.019632264917715216
2.1878e-05,0.9999917834180728,0.019632164967065935
2.2131e-05,0.9999916883237299,0.019632064220879306
2.2387e-05,0.9999915921000011,0.019631962280975284
2.2646e-05,0.9999914947468242,0.019631859147385914
2.2909e-05,0.9999913958882425,0.01963175442194942
2.3174e-05,0.9999912962759694,0.0196316489010899
2.3442e-05,0.9999911955340536,0.019631542186642693
2.3714e-05,0.9999910932865158,0.019631433880458696
2.3988e-05,0.9999909902851095,0.019631324778940654
2.4266e-05,0.9999908857779319,0.019631214085761312
2.4547e-05,0.9999907801408284,0.019631102199137888
2.4831e-05,0.9999906733737293,0.019630989119105297
2.5119e-05,0.9999905651006126,0.01963087444753578
2.541e-05,0.999990455697344,0.019630758582636274
2.5704e-05,0.9999903451638525,0.019630641524442983
2.6002e-05,0.9999902331240886,0.019630522874841516
2.6303e-05,0.9999901199539392,0.019630403032028156
2.6607e-05,0.99999000565333,0.019630281996040316
2.6915e-05,0.9999898898461854,0.01963015936877752
2.7227e-05,0.9999897725324041,0.019630035150290912
2.7542e-05,0.999989654087902,0.019629909738761903
2.7861e-05,0.9999895341365737,0.019629782736104325
2.8184e-05,0.9999894126783155,0.019629654142371306
2.851e-05,0.9999892900890665,0.019629524355732602
2.884e-05,0.9999891659926918,0.01962939297811705
2.9174e-05,0.9999890403890832,0.01962926000957943
2.9512e-05,0.9999889132781316,0.019629125450175183
2.9854e-05,0.9999887846597251,0.019628989299960344
3.02e-05,0.9999886545337524,0.019628851558991706
3.0549e-05,0.9999885232762001,0.019628712625414702
3.0903e-05,0.9999883901347622,0.019628571703106404
3.1261e-05,0.999988255485413,0.019628429190218417
3.1623e-05,0.9999881193280356,0.019628285086810224
3.1989e-05,0.9999879816625104,0.01962813939294171
3.2359e-05,0.9999878424887185,0.0196279921086737
3.2734e-05,0.9999877014303772,0.01962784283600976
3.3113e-05,0.999987558863504,0.019627691973080227
3.3497e-05,0.9999874144117931,0.019627539121900604
3.3884e-05,0.999987268827471,0.01962738507863439
3.4277e-05,0.9999871209818338,0.019627228649220157
3.4674e-05,0.9999869716271166,0.019627070629817764
3.5075e-05,0.9999868207631889,0.019626911020492993
3.5481e-05,0.9999866680136829,0.019626749423292456
