##        Q2         GEp/GD        dGEp/GD    GEp/GD(all)       GMp/muGD      dGMp/muGD dGMp/muGD(all)     GEp/GD(Mz)   GMp/muGD(Mz)
  7.4989e-06   9.999984e-01   1.359739e-06   9.999984e-01   9.999979e-01   1.979154e-06   9.999979e-01   9.999984e-01   9.999979e-01
  7.5858e-06   9.999984e-01   1.375480e-06   9.999984e-01   9.999979e-01   2.002067e-06   9.999979e-01   9.999984e-01   9.999979e-01
  7.6736e-06   9.999984e-01   1.391404e-06   9.999984e-01   9.999978e-01   2.025244e-06   9.999978e-01   9.999984e-01   9.999978e-01
  7.7625e-06   9.999983e-01   1.407511e-06   9.999983e-01   9.999978e-01   2.048689e-06   9.999978e-01   9.999983e-01   9.999978e-01
  7.8524e-06   9.999983e-01   1.423805e-06   9.999983e-01   9.999978e-01   2.072406e-06   9.999978e-01   9.999983e-01   9.999978e-01
  7.9433e-06   9.999983e-01   1.440288e-06   9.999983e-01   9.999978e-01   2.096397e-06   9.999978e-01   9.999983e-01   9.999978e-01
  8.0353e-06   9.999983e-01   1.456961e-06   9.999983e-01   9.999977e-01   2.120666e-06   9.999977e-01   9.999983e-01   9.999977e-01
  8.1283e-06   9.999983e-01   1.473827e-06   9.999983e-01   9.999977e-01   2.145216e-06   9.999977e-01   9.999983e-01   9.999977e-01
  8.2224e-06   9.999982e-01   1.490889e-06   9.999982e-01   9.999977e-01   2.170050e-06   9.999977e-01   9.999982e-01   9.999977e-01
  8.3176e-06   9.999982e-01   1.508148e-06   9.999982e-01   9.999976e-01   2.195172e-06   9.999976e-01   9.999982e-01   9.999976e-01
  8.4140e-06   9.999982e-01   1.525607e-06   9.999982e-01   9.999976e-01   2.220584e-06   9.999976e-01   9.999982e-01   9.999976e-01
  8.5114e-06   9.999982e-01   1.543267e-06   9.999982e-01   9.999976e-01   2.246290e-06   9.999976e-01   9.999982e-01   9.999976e-01
