##        Q2         GEp/GD        dGEp/GD    GEp/GD(all)       GMp/muGD      dGMp/muGD dGMp/muGD(all)     GEp/GD(Mz)   GMp/muGD(Mz)
  2.7227e-06   9.999987e-01   4.676285e-07   9.999987e-01   9.999992e-01   6.382168e-07   9.999992e-01   9.999987e-01   9.999992e-01
  2.7542e-06   9.999986e-01   4.730429e-07   9.999986e-01   9.999992e-01   6.456063e-07   9.999992e-01   9.999986e-01   9.999992e-01
  2.7861e-06   9.999986e-01   4.785200e-07   9.999986e-01   9.999992e-01   6.530814e-07   9.999992e-01   9.999986e-01   9.999992e-01
  2.8184e-06   9.999986e-01   4.840606e-07   9.999986e-01   9.999992e-01   6.606430e-07   9.999992e-01   9.999986e-01   9.999992e-01
  2.8510e-06   9.999986e-01   4.896653e-07   9.999986e-01   9.999992e-01   6.682922e-07   9.999992e-01   9.999986e-01   9.999992e-01
  2.8840e-06   9.999986e-01   4.953348e-07   9.999986e-01   9.999992e-01   6.760300e-07   9.999992e-01   9.999986e-01   9.999992e-01
  2.9174e-06   9.999986e-01   5.010700e-07   9.999986e-01   9.999992e-01   6.838573e-07   9.999992e-01   9.999986e-01   9.999992e-01
  2.9512e-06   9.999986e-01   5.068716e-07   9.999986e-01   9.999992e-01   6.917752e-07   9.999992e-01   9.999986e-01   9.999992e-01
  2.9854e-06   9.999985e-01   5.127404e-07   9.999985e-01   9.999992e-01   6.997848e-07   9.999992e-01   9.999985e-01   9.999992e-01
  3.0200e-06   9.999985e-01   5.186771e-07   9.999985e-01   9.999991e-01   7.078871e-07   9.999991e-01   9.999985e-01   9.999991e-01
  3.0549e-06   9.999985e-01   5.246826e-07   9.999985e-01   9.999991e-01   7.160833e-07   9.999991e-01   9.999985e-01   9.999991e-01
  3.0903e-06   9.999985e-01   5.307576e-07   9.999985e-01   9.999991e-01   7.243743e-07   9.999991e-01   9.999985e-01   9.999991e-01
  3.1261e-06   9.999985e-01   5.369029e-07   9.999985e-01   9.999991e-01   7.327613e-07   9.999991e-01   9.999985e-01   9.999991e-01
  3.1623e-06   9.999984e-01   5.431193e-07   9.999984e-01   9.999991e-01   7.412454e-07   9.999991e-01   9.999984e-01   9.999991e-01
  3.1989e-06   9.999984e-01   5.494078e-07   9.999984e-01   9.999991e-01   7.498278e-07   9.999991e-01   9.999984e-01   9.999991e-01
  3.2359e-06   9.999984e-01   5.557690e-07   9.999984e-01   9.999991e-01   7.585094e-07   9.999991e-01   9.999984e-01   9.999991e-01
  3.2734e-06   9.999984e-01   5.622039e-07   9.999984e-01   9.999991e-01   7.672916e-07   9.999991e-01   9.999984e-01   9.999991e-01
  3.3113e-06   9.999984e-01   5.687132e-07   9.999984e-01   9.999991e-01   7.761755e-07   9.999991e-01   9.999984e-01   9.999991e-01
  3.3497e-06   9.999984e-01   5.752980e-07   9.999984e-01   9.999991e-01   7.851622e-07   9.999991e-01   9.999984e-01   9.999991e-01
  3.3884e-06   9.999983e-01   5.819589e-07   9.999983e-01   9.999990e-01   7.942530e-07   9.999990e-01   9.999983e-01   9.999990e-01
  3.4277e-06   9.999983e-01   5.886970e-07   9.999983e-01   9.999990e-01   8.034490e-07   9.999990e-01   9.999983e-01   9.999990e-01
  3.4674e-06   9.999983e-01   5.955131e-07   9.999983e-01   9.999990e-01   8.127514e-07   9.999990e-01   9.999983e-01   9.999990e-01
  3.5075e-06   9.999983e-01   6.024081e-07   9.999983e-01   9.999990e-01   8.221616e-07   9.999990e-01   9.999983e-01   9.999990e-01
  3.5481e-06   9.999983e-01   6.093829e-07   9.999983e-01   9.999990e-01   8.316806e-07   9.999990e-01   9.999983e-01   9.999990e-01
